2012-03-12 16:02:08: StorageConsistencyCheck[12023]: (re)connecting to database
Got     4234 LFNs in   149 directories
Orphaned file summary:

Final score: 0 files left...

Directory summary:
       SE/TMDB  diff : Directory
      104/778     -674 : /store/mc/Summer09/ZinvisibleJets-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
       40/295     -255 : /store/mc/Summer09/ZinvisibleJets-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v2
      90/1226    -1136 : /store/mc/Summer09/Zmumu/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         6/26      -20 : /store/mc/Summer09/Zprime_M2TeV_W20GeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       48/200     -152 : /store/mc/Summer09/Zprime_M2TeV_W20GeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        19/80      -61 : /store/mc/Summer09/Zprime_M2TeV_W20GeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         7/26      -19 : /store/mc/Summer09/Zprime_M3TeV_W30GeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       45/197     -152 : /store/mc/Summer09/Zprime_M3TeV_W30GeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        18/77      -59 : /store/mc/Summer09/Zprime_M3TeV_W30GeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         3/29      -26 : /store/mc/Summer09/Zprime_M4TeV_W400GeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        4/186     -182 : /store/mc/Summer09/Zprime_M4TeV_W400GeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         3/79      -76 : /store/mc/Summer09/Zprime_M4TeV_W400GeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         3/24      -21 : /store/mc/Summer09/Zprime_M4TeV_W40GeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        7/160     -153 : /store/mc/Summer09/Zprime_M4TeV_W40GeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         4/66      -62 : /store/mc/Summer09/Zprime_M4TeV_W40GeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         5/21      -16 : /store/mc/Summer09/Zprime_M500GeV_W50GeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       28/146     -118 : /store/mc/Summer09/Zprime_M500GeV_W50GeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        11/61      -50 : /store/mc/Summer09/Zprime_M500GeV_W50GeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         4/20      -16 : /store/mc/Summer09/Zprime_M750GeV_W7500MeV-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       22/138     -116 : /store/mc/Summer09/Zprime_M750GeV_W7500MeV-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         9/57      -48 : /store/mc/Summer09/Zprime_M750GeV_W7500MeV-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         3/12       -9 : /store/mc/Summer09/ttW-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
        18/72      -54 : /store/mc/Summer09/ttW-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
         8/31      -23 : /store/mc/Summer09/ttW-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v2

Finished...
